Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
COEP Technological University," Instrumentation and Control Engineering(4 Years, Bachelor of Technology)",HS,SC,Female-Only,1147,14740,3,Maharashtra
COEP Technological University," Instrumentation and Control Engineering(4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1147,33664,3,Maharashtra
COEP Technological University," Instrumentation and Control Engineering(4 Years, Bachelor of Technology)",HS,ST,Female-Only,1147,48801,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,1428,2774,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,1428,6944,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1428,14423,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,1428,13732,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1428,20842,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,1428,48995,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,1428,17070,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC,Gender-Neutral,1428,4959,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC,Female-Only,1428,9411,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1428,4738,3,Maharashtra
COEP Technological University,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,1428,4738,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,189,2106,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,1428,2770,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1428,11041,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,1428,11630,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1428,45325,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,1428,123276,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,1428,48431,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC,Gender-Neutral,1428,3114,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC,Female-Only,1428,6460,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1428,3988,3,Maharashtra
COEP Technological University,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,1428,3988,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,2488,3152,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,2488,7658,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2488,15012,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,2488,20533,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2488,86677,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,2488,35933,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,2488,85380,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC,Gender-Neutral,2488,4105,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC,Female-Only,2488,8861,3,Maharashtra
COEP Technological University,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2488,5254,3,Maharashtra
